title	author	filename	pubyear	sources
Hesperus, oder 45 Hundsposttage	Jean Paul	paul_hesperus03_1795.txt	1795.0	https://www.deutschestextarchiv.de/book/show/paul_hesperus03_1795
Flegeljahre	Jean Paul	paul_flegeljahre01_1804.txt	1804.0	https://www.deutschestextarchiv.de/book/show/paul_flegeljahre01_1804
Flegeljahre	Jean Paul	paul_flegeljahre02_1804.txt	1804.0	https://www.deutschestextarchiv.de/book/show/paul_flegeljahre02_1804
Flegeljahre	Jean Paul	paul_flegeljahre03_1804.txt	1804.0	https://www.deutschestextarchiv.de/book/show/paul_flegeljahre03_1804
Flegeljahre	Jean Paul	paul_flegeljahre04_1805.txt	1805.0	https://www.deutschestextarchiv.de/book/show/paul_flegeljahre04_1805
D. Katzenbergers Badereise	Jean Paul	paul_katzenberger01_1809.txt	1809.0	https://www.deutschestextarchiv.de/book/show/paul_katzenberger01_1809
D. Katzenbergers Badereise	Jean Paul	paul_katzenberger02_1809.txt	1809.0	https://www.deutschestextarchiv.de/book/show/paul_katzenberger02_1809
Gemälde weiblicher Erziehung	Karoline Rudolphi	rudolphi_erziehung01_1807.txt	1807.0	https://www.deutschestextarchiv.de/book/show/rudolphi_erziehung01_1807
Gemälde weiblicher Erziehung	Karoline Rudolphi	rudolphi_erziehung02_1807.txt	1807.0	https://www.deutschestextarchiv.de/book/show/rudolphi_erziehung02_1807
Lucinde	Friedrich Schlegel	schlegel_lucinde_1799.txt	1799.0	https://www.deutschestextarchiv.de/book/show/schlegel_lucinde_1799
Florentin	Friedrich Schlegel	veitschlegel_florentin_1801.txt	1801.0	https://www.deutschestextarchiv.de/book/show/veitschlegel_florentin_1801
Der Prophet	Amalie Schoppe	schoppe_prophet01_1846.txt	1846.0	https://www.deutschestextarchiv.de/book/show/schoppe_prophet01_1846
Der Prophet	Amalie Schoppe	schoppe_prophet02_1846.txt	1846.0	https://www.deutschestextarchiv.de/book/show/schoppe_prophet02_1846
Der Prophet	Amalie Schoppe	schoppe_prophet03_1846.txt	1846.0	https://www.deutschestextarchiv.de/book/show/schoppe_prophet03_1846
Herzensergießungen eines kunstliebenden Klosterbruders	Ludwig Tieck	wackenroder_herzensergiessungen_1797.txt	1797.0	https://www.deutschestextarchiv.de/book/show/wackenroder_herzensergiessungen_1797
Franz Sternbalds Wanderungen	Ludwig Tieck	tieck_sternbald01_1798.txt	1798.0	https://www.deutschestextarchiv.de/book/show/tieck_sternbald01_1798
Franz Sternbald's Wanderungen	Ludwig Tieck	tieck_sternbald02_1798.txt	1798.0	https://www.deutschestextarchiv.de/book/show/tieck_sternbald02_1798
Ini	Julius von Voß	voss_ini_1810.txt	1810.0	https://www.deutschestextarchiv.de/book/show/voss_ini_1810
Phaëthon	Wilhelm Waiblinger	waiblinger_phaeton01_1823.txt	1823.0	https://www.deutschestextarchiv.de/book/show/waiblinger_phaeton01_1823
Phaëthon	Wilhelm Waiblinger	waiblinger_phaeton02_1823.txt	1823.0	https://www.deutschestextarchiv.de/book/show/waiblinger_phaeton02_1823
Geschichte vom braven Kasperl und dem schönen Annerl	Clemens Brentano	brentano_kasperl_1838.txt	1838	https://www.deutschestextarchiv.de/book/show/brentano_kasperl_1838
