input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	finster	96493.0	adj	Relation	[ungeheuer, unheimlich] , [ungewiss, ungewiß]	0.65	0.31699	0.0	0.0	0.0	0.54591
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	finster	3022.0	adj	Perzeption	[dunkel]	0.6	0.2783	0.0	0.0	0.0	0.57134
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	finster	96492.0	adj	Gefuehl	[trüb, trübe]	0.6	0.2783	0.0	0.0	0.0	0.60534
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	finster	96494.0	adj	Allgemein	[negativ, schlecht]	0.6	0.2783	0.0	0.0	0.0	0.65755
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	finster	96493.0	adj	Relation	[ungeheuer, unheimlich] , [ungewiss, ungewiß]	0.6	0.2783	0.2	0.15814	0.3972	0.76
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	finster	3022.0	adj	Perzeption	[dunkel]	0.55	0.2437	0.0	0.0	0.0	0.62729
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	finster	96492.0	adj	Gefuehl	[trüb, trübe]	0.65	0.31699	0.22222	0.15814	0.46689	0.81943
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	grauenvoll	814.0	adj	Gefuehl	[Grauen erregend, grauenerregend]	0.55	0.2437	0.0	0.0	0.0	0.5455
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	grauenvoll	814.0	adj	Gefuehl	[Grauen erregend, grauenerregend]	0.6	0.2783	0.2	0.15814	0.39679	0.75959
einsam					d�ster										
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	grausam	704.0	adj	Gefuehl	[peinigend]	0.65	0.31699	0.0	0.0	0.0	0.55981
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	grausam	4557.0	adj	Verhalten	[brutal, gewalttätig]	0.65	0.31699	0.0	0.0	0.0	0.58216
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	grausam	704.0	adj	Gefuehl	[peinigend]	0.7	0.36085	0.25	0.15814	0.41157	0.77391
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	grausam	4557.0	adj	Verhalten	[brutal, gewalttätig]	0.6	0.2783	0.0	0.0	0.0	0.63811
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	schauerlich	799.0	adj	Gefuehl	[beängstigend]	0.6	0.2783	0.0	0.0	0.0	0.49508
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	schauerlich	96289.0	adj	Allgemein	[bös, böse]	0.6	0.2783	0.0	0.0	0.0	0.48636
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	schauerlich	799.0	adj	Gefuehl	[beängstigend]	0.65	0.31699	0.22222	0.15814	0.35223	0.70917
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	schauerlich	96289.0	adj	Allgemein	[bös, böse]	0.55	0.2437	0.0	0.0	0.0	0.54232
einsam					gr��lich										
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	dumpf	108344.0	adj	Relation	[unklar]	0.6	0.2783	0.0	0.0	0.0	0.53268
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	dumpf	3150.0	adj	Perzeption	[dunkel]	0.65	0.31699	0.0	0.0	0.0	0.54245
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	dumpf	107490.0	adj	Gefuehl	[langweilig, uninteressant]	0.65	0.31699	0.0	0.0	0.0	0.535
einsam	2330.0	adj	Ort	[lokalisationsspezifisch]	dumpf	108346.0	adj	Perzeption	[miefig, moderig, modrig, muffig]	0.65	0.31699	0.0	0.0	0.0	0.53277
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	dumpf	108344.0	adj	Relation	[unklar]	0.55	0.2437	0.0	0.0	0.0	0.58863
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	dumpf	3150.0	adj	Perzeption	[dunkel]	0.6	0.2783	0.0	0.0	0.0	0.59841
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	dumpf	107490.0	adj	Gefuehl	[langweilig, uninteressant]	0.7	0.36085	0.25	0.15814	0.38661	0.74909
einsam	536.0	adj	Gefuehl	[freudlos, traurig]	dumpf	108346.0	adj	Perzeption	[miefig, moderig, modrig, muffig]	0.6	0.2783	0.0	0.0	0.0	0.58872
einsam					gl�hend										
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	0.55	0.2437	0.0	0.0	0.0	0.57543
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	geheimnisvoll	822.0	adj	Gefuehl	[seltsam]	0.65	0.31699	0.36364	0.19127	0.42778	0.74415
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	scheu	4738.0	adj	Verhalten	[charakterspezifisch]	0.8	0.47137	0.5	0.13271	0.30893	0.70313
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	scheu	96734.0	adj	Verhalten	[tierspezifisch]	0.7	0.36085	0.25	0.12376	0.24849	0.62571
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	scheu	4738.0	adj	Verhalten	[charakterspezifisch]	0.5	0.21239	0.0	0.0	0.0	0.54787
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	scheu	96734.0	adj	Verhalten	[tierspezifisch]	0.5	0.21239	0.0	0.0	0.0	0.4794
hold					f�rchterlich										
hold					raub										
hold	96585.0	adj	Verhalten	[gutgesinnt, wohlgesinnt, wohlgesonnen, wohlmeinend, wohlwollend]	heimlich	1091.0	adj	Gesellschaft	[geheim, geheimgehalten, nicht öffentlich, nichtöffentlich]	0.55	0.2437	0.0	0.0	0.0	0.57444
hold	96331.0	adj	Gefuehl	[lieblich, liebreizend]	heimlich	1091.0	adj	Gesellschaft	[geheim, geheimgehalten, nicht öffentlich, nichtöffentlich]	0.45	0.18381	0.0	0.0	0.0	0.55189
