input1	synset1ID	synset1Cat	synset1Class	synset1Hypernyms	input2	synset2ID	synset2Cat	synset2Class	synset2Hypernyms	SimplePath	LeacockAndChodorow	WuAndPalmer	Resnik	Lin	JiangAndConrath
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Kummer	16204.0	nomen	Gefuehl	[Emotion, Empfinden, Empfindung, Feeling, Gefühl, Gemütsbewegung]	0.88571	0.55088	0.77778	0.20228	0.59928	0.86474
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Geheimnis	30874.0	nomen	Kommunikation	[Info, Information]	0.85714	0.5	0.66667	0.16434	0.44208	0.7926
Bitte					Verh�ngnis										
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Traum	87506.0	nomen	Kommunikation	[Wunsch]	0.94286	0.69343	0.88889	0.28777	0.79699	0.9267
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Traum	28629.0	nomen	Kognition	[Perzeption, Wahrnehmung]	0.85714	0.5	0.70588	0.19176	0.53058	0.83035
Bitte					R�tsel										
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Raub	75678.0	nomen	Besitz	[Beute, Beutegut, Diebesbeute, Diebesgut]	0.57143	0.22629	0.11765	0.06249	0.14571	0.6336
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Raub	15394.0	nomen	Besitz	[Delikt, Gesetzesbruch, Gesetzesverstoß, Rechtsbruch, Strafdelikt, Straftat, Tat, Verbrechen] , [Besitzwechsel]	0.71429	0.33085	0.375	0.07994	0.20603	0.69192
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Rache	21129.0	nomen	Geschehen	[Ahndung, Bestrafung, Strafe, Vergeltung]	0.68571	0.30657	0.35294	0.07994	0.20698	0.69371
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Gram	16055.0	nomen	Gefuehl	[Traurigkeit]	0.82857	0.45698	0.7	0.20228	0.47416	0.77568
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Reue	16375.0	nomen	Gefuehl	[Bedauern]	0.85714	0.5	0.73684	0.20228	0.46463	0.76692
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schrecken	11189.0	nomen	Artefakt	[Figur]	0.57143	0.22629	0.11765	0.02941	0.07314	0.62727
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schrecken	16346.0	nomen	Gefuehl	[Angst, Bammel, Bangigkeit, Fracksausen, Furcht, Furchtsamkeit, Muffe, Muffensausen, Schiss]	0.85714	0.5	0.73684	0.20228	0.51056	0.80609
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schwert	8387.0	nomen	Artefakt	[Hiebwaffe]	0.54286	0.20938	0.11111	0.02941	0.07777	0.6512
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	Schwert	75918.0	nomen	Artefakt	[Platte]	0.6	0.2443	0.125	0.02941	0.07554	0.64004
Bitte	30959.0	nomen	Kommunikation	[Wunsch]	List	27874.0	nomen	Kognition	[Plan, Planung]	0.68571	0.30657	0.26667	0.0797	0.19752	0.67621
